"x"
"1" "WARS"
"2" "PTPRF"
"3" "AP2M1"
"4" "PFN1"
"5" "JTB"
"6" "SPAG7"
"7" "HNRNPA1P35"
"8" "ZNF146"
"9" "RPL11"
"10" "ZPR1"
"11" "NDRG1"
"12" "RPS27AP16"
"13" "EEF2"
"14" "KXD1"
"15" "MSN"
"16" "RPL9P9"
"17" "SMNDC1"
"18" "USP22"
"19" "CCL5"
"20" "RPL35"
"21" "ABCF1"
"22" "DTX2P1-UPK3BP1-PMS2P11"
"23" "RPL24"
"24" "EIF3F"
"25" "PTGES3"
"26" "CALM3"
"27" "YY1"
"28" "CAP1"
"29" "ELOB"
"30" "YWHAZ"
"31" "ERH"
"32" "SRP14"
"33" "RPS5"
"34" "RPL19"
"35" "AP2B1"
"36" "TAF10"
"37" "SF3B2"
"38" "MMP14"
"39" "EIF3D"
"40" "RHOA"
"41" "NPM1P6"
"42" "TMEM59"
"43" "RPS7P11"
"44" "RPL37"
"45" "BAD"
"46" "EIF3A"
"47" "PRKAR1A"
"48" "MATR3"
"49" "CAPNS1"
"50" "DSP"
